asleep,awake
2016-09-23T22:06:52.794,2016-09-24T06:02:55.204
2016-09-24T20:55:28.967,2016-09-25T06:01:37.374
2016-09-25T22:49:56.021,2016-09-26T05:25:23.372
2016-09-26T21:20:36.642,2016-09-27T06:27:11.296
2016-09-27T22:06:59.354,2016-09-28T05:43:29.519
2016-09-28T21:48:26.105,2016-09-29T06:36:00.514
2016-09-29T21:33:58.756,2016-09-30T06:59:53.779
2016-09-30T22:23:59.710,2016-10-01T05:41:11.553
2016-10-01T22:18:19.023,2016-10-02T06:07:46.209
2016-10-02T21:13:58.146,2016-10-03T05:40:54.638
2016-10-03T22:13:53.748,2016-10-04T06:16:40.628
2016-10-04T21:36:13.572,2016-10-05T05:46:26.505
2016-10-05T22:47:04.082,2016-10-06T06:16:54.190
2016-10-06T21:51:39.591,2016-10-07T05:43:58.235
2016-10-07T23:11:17.888,2016-10-08T05:43:40.614
2016-10-08T21:55:47.770,2016-10-09T06:05:27.475
2016-10-09T22:55:37.263,2016-10-10T07:02:18.046
2016-10-10T21:37:53.631,2016-10-11T05:30:50.230
2016-10-11T22:26:38.920,2016-10-12T06:00:50.667
2016-10-12T21:45:58.205,2016-10-13T05:58:11.630
2016-10-13T22:39:35.008,2016-10-14T06:28:17.236
2016-10-14T21:56:13.389,2016-10-15T06:13:19.767
2016-10-15T22:10:25.083,2016-10-16T07:00:16.188
2016-10-16T21:03:34.987,2016-10-17T06:13:49.564
2016-10-17T22:06:33.189,2016-10-18T05:50:43.757
2016-10-18T22:23:42.858,2016-10-19T05:16:27.125
2016-10-19T22:20:48.260,2016-10-20T05:36:20.362
2016-10-20T22:15:23.358,2016-10-21T06:13:50.057
2016-10-21T21:39:52.355,2016-10-22T06:06:02.845
2016-10-22T21:45:00.025,2016-10-23T06:03:11.832
2016-10-23T21:31:10.730,2016-10-24T06:20:06.396
2016-10-24T22:07:53.957,2016-10-25T06:33:50.358
2016-10-25T22:18:36.247,2016-10-26T05:45:12.212
2016-10-26T22:18:52.389,2016-10-27T05:59:50.223
2016-10-27T22:42:14.831,2016-10-28T06:12:57.580
2016-10-28T21:25:43.261,2016-10-29T06:40:36.375
2016-10-29T22:09:35.621,2016-10-30T04:22:28.969
2016-10-30T20:26:03.801,2016-10-31T04:49:25.885
2016-10-31T21:47:08.478,2016-11-01T05:34:39.103
2016-11-01T21:24:03.325,2016-11-02T06:02:53.806
2016-11-02T20:51:43.826,2016-11-03T06:05:49.063
2016-11-03T21:51:57.335,2016-11-04T05:48:59.983
2016-11-04T22:12:10.034,2016-11-05T05:57:18.667
2016-11-05T21:39:28.002,2016-11-06T06:00:20.210
2016-11-06T21:51:41.501,2016-11-07T06:47:06.210
2016-11-07T22:16:11.272,2016-11-08T05:48:00.335
2016-11-08T20:57:05.165,2016-11-09T05:49:30.976
2016-11-09T21:59:39.464,2016-11-10T06:11:19.588
2016-11-10T22:13:37.989,2016-11-11T05:57:01.287
2016-11-11T21:38:38.657,2016-11-12T06:31:12.856
2016-11-12T21:58:43.070,2016-11-13T07:21:21.669
2016-11-13T22:08:45.370,2016-11-14T05:29:38.375
2016-11-14T22:19:56.174,2016-11-15T06:29:30.474
2016-11-15T22:07:45.324,2016-11-16T05:33:20.261
2016-11-16T21:58:59.960,2016-11-17T06:32:16.830
2016-11-17T21:52:51.907,2016-11-18T06:10:07.543
2016-11-18T22:51:02.533,2016-11-19T05:43:44.644
2016-11-19T21:03:28.845,2016-11-20T06:30:22.160
2016-11-20T22:00:11.251,2016-11-21T06:11:42.886
2016-11-21T21:07:42.006,2016-11-22T05:15:17.569
2016-11-22T22:16:33.066,2016-11-23T05:35:48.042
2016-11-23T21:21:42.433,2016-11-24T06:43:50.439
2016-11-24T22:10:16.479,2016-11-25T05:24:14.501
2016-11-25T21:21:35.528,2016-11-26T05:46:37.247
2016-11-26T21:54:18.382,2016-11-27T05:22:14.885
2016-11-27T20:56:51.970,2016-11-28T06:24:23.997
2016-11-28T22:31:35.756,2016-11-29T05:38:28.878
2016-11-29T22:52:15.888,2016-11-30T05:33:58.603
2016-11-30T21:48:29.412,2016-12-01T05:46:17.146
2016-12-01T22:07:18.586,2016-12-02T06:35:23.553
2016-12-02T21:38:31.536,2016-12-03T06:33:03.987
2016-12-03T21:26:33.781,2016-12-04T05:27:06.236
2016-12-04T21:54:56.851,2016-12-05T06:01:23.206
2016-12-05T22:09:48.931,2016-12-06T06:23:59.403
2016-12-06T21:09:32.060,2016-12-07T06:26:13.400
2016-12-07T21:52:09.791,2016-12-08T05:30:50.051
2016-12-08T22:07:48.418,2016-12-09T05:44:54.568
2016-12-09T22:19:14.730,2016-12-10T06:03:07.832
2016-12-10T21:47:32.866,2016-12-11T05:38:37.218
2016-12-11T21:29:06.277,2016-12-12T06:46:29.007
2016-12-12T21:45:25.863,2016-12-13T05:54:21.639
2016-12-13T21:42:07.623,2016-12-14T05:59:25.558
2016-12-14T22:13:11.789,2016-12-15T06:06:13.621
2016-12-15T22:54:39.228,2016-12-16T06:18:43.216
2016-12-16T22:17:29.293,2016-12-17T05:25:36.101
2016-12-17T22:05:18.674,2016-12-18T06:06:02.676
2016-12-18T22:19:10.397,2016-12-19T06:18:34.049
2016-12-19T21:33:16.023,2016-12-20T06:25:11.988
2016-12-20T22:17:57.257,2016-12-21T05:47:03.158
2016-12-21T22:05:47.787,2016-12-22T06:17:23.136
2016-12-22T21:15:18.084,2016-12-23T06:30:54.819
2016-12-23T22:20:37.216,2016-12-24T06:04:28.468
2016-12-24T23:24:00.663,2016-12-25T05:56:18.096
2016-12-25T22:27:47.179,2016-12-26T05:48:14.225
2016-12-26T22:40:16.737,2016-12-27T05:51:42.063
2016-12-27T22:01:11.393,2016-12-28T06:32:49.421
2016-12-28T22:17:14.517,2016-12-29T05:37:40.144
2016-12-29T21:21:08.582,2016-12-30T05:26:38.677
2016-12-30T21:45:32.471,2016-12-31T06:15:52.291
2016-12-31T21:32:12.126,2017-01-01T06:43:38.269
